419.337	101.0
419.677	98.0
420.017	105.0
420.357	102.0
420.697	100.0
421.037	105.0
421.378	102.0
421.718	105.0
422.058	106.0
422.398	105.0
422.739	106.0
423.079	106.0
423.419	106.0
423.760	107.0
424.100	108.0
424.441	111.0
424.781	113.0
425.122	116.0
425.462	120.0
425.803	113.0
426.143	114.0
426.484	113.0
426.825	113.0
427.165	121.0
427.506	119.0
427.847	115.0
428.187	117.0
428.528	133.0
428.869	120.0
429.210	126.0
429.551	122.0
429.892	123.0
430.233	128.0
430.574	125.0
430.915	125.0
431.256	127.0
431.597	127.0
431.938	129.0
432.279	134.0
432.620	129.0
432.962	131.0
433.303	134.0
433.644	141.0
433.985	135.0
434.327	139.0
434.668	140.0
435.010	141.0
435.351	141.0
435.692	144.0
436.034	141.0
436.375	146.0
436.717	145.0
437.058	143.0
437.400	146.0
437.742	151.0
438.083	149.0
438.425	155.0
438.767	159.0
439.109	158.0
439.450	158.0
439.792	164.0
440.134	163.0
440.476	164.0
440.818	163.0
441.160	165.0
441.502	174.0
441.844	181.0
442.186	170.0
442.528	176.0
442.870	178.0
443.212	179.0
443.554	184.0
443.896	180.0
444.238	186.0
444.581	187.0
444.923	184.0
445.265	185.0
445.608	186.0
445.950	196.0
446.292	198.0
446.635	201.0
446.977	199.0
447.320	200.0
447.662	198.0
448.005	205.0
448.347	201.0
448.690	202.0
449.032	196.0
449.375	207.0
449.718	205.0
450.060	201.0
450.403	204.0
450.746	202.0
451.089	203.0
